post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Topic,Predicted_Label
румен радев съобщи датата на изборите,14-01-21 17:12,861,19,104,petel.bg,0,изборите,True,6,5.333333333,0,"['румен', 'радев', 'съобщи', 'датата', 'на', 'изборите']","['румен', 'радев', 'съобщи', 'датата', 'на', 'изборите']",1,0,0,0,0
след ужаса в сандански. майка от якоруда хвана 11-месечното си бебенце и зверски го,14-01-21 15:01,80,21,133,petel.bg,1,го,False,14,5.0,0,"['след', 'ужаса', 'в', 'сандански', '.', 'майка', 'от', 'якоруда', 'хвана', '11-месечното', 'си', 'бебенце', 'и', 'зверски', 'го']","['след', 'ужаса', 'в', 'сандански', 'майка', 'от', 'якоруда', 'хвана', '11месечното', 'си', 'бебенце', 'и', 'зверски', 'го']",6,2,0,0,0
синоптик: зимната хала смъква рязко температурите до минус 12 градуса. сняг почва да трупа в,14-01-21 14:21,253,15,15,petel.bg,0,в,False,15,5.2,0,"['синоптик', ':', 'зимната', 'хала', 'смъква', 'рязко', 'температурите', 'до', 'минус', '12', 'градуса', '.', 'сняг', 'почва', 'да', 'трупа', 'в']","['синоптик', 'зимната', 'хала', 'смъква', 'рязко', 'температурите', 'до', 'минус', '12', 'градуса', 'сняг', 'почва', 'да', 'трупа', 'в']",3,2,0,0,0
"потвърди се, че сладкият пелин инхибира репликацията на covid-19",14-01-21 13:15,34,10,8,petel.bg,1,covid-19,True,9,6.222222222,0,"['потвърди', 'се', ',', 'че', 'сладкият', 'пелин', 'инхибира', 'репликацията', 'на', 'covid-19']","['потвърди', 'се', 'че', 'сладкият', 'пелин', 'инхибира', 'репликацията', 'на', 'covid19']",3,2,0,1,0
мутрите се завърнаха да бият хората! слязоха от ролс ройс и обезобразиха баща пред детето му в,14-01-21 12:17,271,93,198,petel.bg,1,в,False,17,4.588235294,0,"['мутрите', 'се', 'завърнаха', 'да', 'бият', 'хората', '!', 'слязоха', 'от', 'ролс', 'ройс', 'и', 'обезобразиха', 'баща', 'пред', 'детето', 'му', 'в']","['мутрите', 'се', 'завърнаха', 'да', 'бият', 'хората', 'слязоха', 'от', 'ролс', 'ройс', 'и', 'обезобразиха', 'баща', 'пред', 'детето', 'му', 'в']",7,1,1,0,0
❗извънредно съобщение! здравният министър: облекчаваме мерките от,14-01-21 11:30,74,2,67,petel.bg,1,от,False,7,8.428571429,1,"['❗извънредно', 'съобщение', '!', 'здравният', 'министър', ':', 'облекчаваме', 'мерките', 'от']","['извънредно', 'съобщение', 'здравният', 'министър', 'облекчаваме', 'мерките', 'от']",1,2,1,0,0
"младият георг от герб смрази радев: предупреди го! няма да остане без последици, че",14-01-21 10:52,290,16,664,petel.bg,1,че,False,14,5.0,0,"['младият', 'георг', 'от', 'герб', 'смрази', 'радев', ':', 'предупреди', 'го', '!', 'няма', 'да', 'остане', 'без', 'последици', ',', 'че']","['младият', 'георг', 'от', 'герб', 'смрази', 'радев', 'предупреди', 'го', 'няма', 'да', 'остане', 'без', 'последици', 'че']",6,3,1,0,0
слънчевата бонка бонева е загинала в катастрофа. оставя две деца сирачета,14-01-21 10:13,378,10,372,petel.bg,1,сирачета,True,11,5.727272727,0,"['слънчевата', 'бонка', 'бонева', 'е', 'загинала', 'в', 'катастрофа', '.', 'оставя', 'две', 'деца', 'сирачета']","['слънчевата', 'бонка', 'бонева', 'е', 'загинала', 'в', 'катастрофа', 'оставя', 'две', 'деца', 'сирачета']",3,1,0,0,0
кантарджиев съобщи: сега пускат учениците. заведения и молове след,14-01-21 9:21,109,5,73,petel.bg,1,след,False,9,6.444444444,0,"['кантарджиев', 'съобщи', ':', 'сега', 'пускат', 'учениците', '.', 'заведения', 'и', 'молове', 'след']","['кантарджиев', 'съобщи', 'сега', 'пускат', 'учениците', 'заведения', 'и', 'молове', 'след']",3,2,0,0,0
националната информационна система: 70 починали и 535 новозаразени с коронавирус за последния ден,14-01-21 0:48,40,0,8,petel.bg,0,ден,True,13,6.538461538,0,"['националната', 'информационна', 'система', ':', '70', 'починали', 'и', '535', 'новозаразени', 'с', 'коронавирус', 'за', 'последния', 'ден']","['националната', 'информационна', 'система', '70', 'починали', 'и', '535', 'новозаразени', 'с', 'коронавирус', 'за', 'последния', 'ден']",4,1,0,1,0
