post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,keywords,Predictions
след ужаса в сандански. майка от якоруда хвана 11-месечното си бебенце и зверски го,14-01-21 15:01,-0.22563404347970578,-0.10808240515119645,0.4066783676330938,petel.bg,1,го,False,14,5.0,0,"['след', 'ужаса', 'в', 'сандански', '.', 'майка', 'от', 'якоруда', 'хвана', '11-месечното', 'си', 'бебенце', 'и', 'зверски', 'го']","['след', 'ужаса', 'в', 'сандански', 'майка', 'от', 'якоруда', 'хвана', '11месечното', 'си', 'бебенце', 'и', 'зверски', 'го']",6,2,0,месечното си бебенце и зверски го майка от якоруда хвана 11 след ужаса в сандански,1
"потвърди се, че сладкият пелин инхибира репликацията на covid-19",14-01-21 13:15,-0.2780010441346249,-0.19935338976244804,-0.4154719824985286,petel.bg,1,covid-19,True,9,6.222222222,0,"['потвърди', 'се', ',', 'че', 'сладкият', 'пелин', 'инхибира', 'репликацията', 'на', 'covid-19']","['потвърди', 'се', 'че', 'сладкият', 'пелин', 'инхибира', 'репликацията', 'на', 'covid19']",3,2,0,че сладкият пелин инхибира репликацията на covid потвърди се 19,1
мутрите се завърнаха да бият хората! слязоха от ролс ройс и обезобразиха баща пред детето му в,14-01-21 12:17,-0.008197149456019792,0.48932767594063215,0.8341965497015374,petel.bg,1,в,False,17,4.588235294,0,"['мутрите', 'се', 'завърнаха', 'да', 'бият', 'хората', '!', 'слязоха', 'от', 'ролс', 'ройс', 'и', 'обезобразиха', 'баща', 'пред', 'детето', 'му', 'в']","['мутрите', 'се', 'завърнаха', 'да', 'бият', 'хората', 'слязоха', 'от', 'ролс', 'ройс', 'и', 'обезобразиха', 'баща', 'пред', 'детето', 'му', 'в']",7,1,1,слязоха от ролс ройс и обезобразиха баща пред детето му в мутрите се завърнаха да бият хората,1
❗извънредно съобщение! здравният министър: облекчаваме мерките от,14-01-21 11:30,-0.23246452182599958,-0.2657322876615401,-0.027417017236402857,petel.bg,1,от,False,7,8.428571429,1,"['❗извънредно', 'съобщение', '!', 'здравният', 'министър', ':', 'облекчаваме', 'мерките', 'от']","['извънредно', 'съобщение', 'здравният', 'министър', 'облекчаваме', 'мерките', 'от']",1,2,1,❗ извънредно съобщение облекчаваме мерките от здравният министър,1
"младият георг от герб смрази радев: предупреди го! няма да остане без последици, че",14-01-21 10:52,0.013432698640577244,-0.149569216338129,3.899173054992226,petel.bg,1,че,False,14,5.0,0,"['младият', 'георг', 'от', 'герб', 'смрази', 'радев', ':', 'предупреди', 'го', '!', 'няма', 'да', 'остане', 'без', 'последици', ',', 'че']","['младият', 'георг', 'от', 'герб', 'смрази', 'радев', 'предупреди', 'го', 'няма', 'да', 'остане', 'без', 'последици', 'че']",6,3,1,младият георг от герб смрази радев няма да остане без последици предупреди го че,1
слънчевата бонка бонева е загинала в катастрофа. оставя две деца сирачета,14-01-21 10:13,0.113613047719553,-0.19935338976244804,1.9786298370847557,petel.bg,1,сирачета,True,11,5.727272727,0,"['слънчевата', 'бонка', 'бонева', 'е', 'загинала', 'в', 'катастрофа', '.', 'оставя', 'две', 'деца', 'сирачета']","['слънчевата', 'бонка', 'бонева', 'е', 'загинала', 'в', 'катастрофа', 'оставя', 'две', 'деца', 'сирачета']",3,1,0,слънчевата бонка бонева е загинала в катастрофа оставя две деца сирачета,1
кантарджиев съобщи: сега пускат учениците. заведения и молове след,14-01-21 9:21,-0.19262006480595242,-0.24084020094938058,0.012046199569915018,petel.bg,1,след,False,9,6.444444444,0,"['кантарджиев', 'съобщи', ':', 'сега', 'пускат', 'учениците', '.', 'заведения', 'и', 'молове', 'след']","['кантарджиев', 'съобщи', 'сега', 'пускат', 'учениците', 'заведения', 'и', 'молове', 'след']",3,2,0,заведения и молове след сега пускат учениците кантарджиев съобщи,1
модерна или пфайзер? проф. аргирова посочи коя е по-добрата ваксина,13-01-21 21:30,-0.28483152248091875,-0.2823270121363131,-0.19842429006378032,petel.bg,1,ваксина,True,10,5.8,0,"['модерна', 'или', 'пфайзер', '?', 'проф', '.', 'аргирова', 'посочи', 'коя', 'е', 'по-добрата', 'ваксина']","['модерна', 'или', 'пфайзер', 'проф', 'аргирова', 'посочи', 'коя', 'е', 'подобрата', 'ваксина']",2,3,0,аргирова посочи коя е по модерна или пфайзер добрата ваксина проф,1
борисов назначи жената на своя приятел александър сталийски за почетен консул на корея в пловдив,13-01-21 20:30,-0.17099021670935538,0.09935165078346625,0.35406074522466996,petel.bg,1,пловдив,True,15,5.466666667,0,"['борисов', 'назначи', 'жената', 'на', 'своя', 'приятел', 'александър', 'сталийски', 'за', 'почетен', 'консул', 'на', 'корея', 'в', 'пловдив']","['борисов', 'назначи', 'жената', 'на', 'своя', 'приятел', 'александър', 'сталийски', 'за', 'почетен', 'консул', 'на', 'корея', 'в', 'пловдив']",4,0,0,борисов назначи жената на своя приятел александър сталийски за почетен консул на корея в пловдив,1
ново напрежение! гръцки спецчасти взеха на абордаж руски кораб! русия обяви,13-01-21 19:30,-0.20741943455625564,-0.22424547647460757,0.03835501077412694,petel.bg,1,обяви,False,11,5.909090909,1,"['ново', 'напрежение', '!', 'гръцки', 'спецчасти', 'взеха', 'на', 'абордаж', 'руски', 'кораб', '!', 'русия', 'обяви']","['ново', 'напрежение', 'гръцки', 'спецчасти', 'взеха', 'на', 'абордаж', 'руски', 'кораб', 'русия', 'обяви']",1,2,2,гръцки спецчасти взеха на абордаж руски кораб русия обяви ново напрежение,1
борисов вдигна заплатата на шефката на нап. досега как се оправяше с 5500 лева плюс бонусите тя си знае,13-01-21 18:30,-0.1277305205161613,0.5723012983144972,1.8405085782626431,petel.bg,1,знае,True,19,4.473684211,0,"['борисов', 'вдигна', 'заплатата', 'на', 'шефката', 'на', 'нап', '.', 'досега', 'как', 'се', 'оправяше', 'с', '5500', 'лева', 'плюс', 'бонусите', 'тя', 'си', 'знае']","['борисов', 'вдигна', 'заплатата', 'на', 'шефката', 'на', 'нап', 'досега', 'как', 'се', 'оправяше', 'с', '5500', 'лева', 'плюс', 'бонусите', 'тя', 'си', 'знае']",8,1,0,досега как се оправяше с 5500 лева плюс бонусите тя си знае борисов вдигна заплатата на шефката на нап,1
❗здравният министър обяви облекчаване на мерките от,13-01-21 15:15,-0.20514260844082438,-0.182758665287675,0.2422482976067693,petel.bg,1,от,False,7,6.428571429,0,"['❗здравният', 'министър', 'обяви', 'облекчаване', 'на', 'мерките', 'от']","['здравният', 'министър', 'обяви', 'облекчаване', 'на', 'мерките', 'от']",2,0,0,❗ здравният министър обяви облекчаване на мерките от,1
извънредно! напрежението расте пред нс. изсипват се хора. много полиция,13-01-21 11:53,3.3922426539405777,1.451821695477467,2.1562143127131863,petel.bg,1,полиция,False,10,6.2,1,"['извънредно', '!', 'напрежението', 'расте', 'пред', 'нс', '.', 'изсипват', 'се', 'хора', '.', 'много', 'полиция']","['извънредно', 'напрежението', 'расте', 'пред', 'нс', 'изсипват', 'се', 'хора', 'много', 'полиция']",3,3,1,напрежението расте пред нс изсипват се хора много полиция извънредно,1
"потрес! това трябва да се спре! уникредит продаде и извърли на улицата болен човек! докато той докаже, че не дължи пари!",13-01-21 11:18,0.2604683321648697,1.3937401598157615,0.643457668471001,petel.bg,1,пари!,True,21,4.761904762,1,"['потрес', '!', 'това', 'трябва', 'да', 'се', 'спре', '!', 'уникредит', 'продаде', 'и', 'извърли', 'на', 'улицата', 'болен', 'човек', '!', 'докато', 'той', 'докаже', ',', 'че', 'не', 'дължи', 'пари', '!']","['потрес', 'това', 'трябва', 'да', 'се', 'спре', 'уникредит', 'продаде', 'и', 'извърли', 'на', 'улицата', 'болен', 'човек', 'докато', 'той', 'докаже', 'че', 'не', 'дължи', 'пари']",10,5,4,уникредит продаде и извърли на улицата болен човек това трябва да се спре че не дължи пари докато той докаже потрес,1
показваха потресаващи кадри от мелето с 10 коли в софия! хората вътре са,13-01-21 9:39,-0.20058895620996184,-0.182758665287675,-0.22473310126799223,petel.bg,1,са,False,13,4.615384615,1,"['показваха', 'потресаващи', 'кадри', 'от', 'мелето', 'с', '10', 'коли', 'в', 'софия', '!', 'хората', 'вътре', 'са']","['показваха', 'потресаващи', 'кадри', 'от', 'мелето', 'с', '10', 'коли', 'в', 'софия', 'хората', 'вътре', 'са']",4,1,1,показваха потресаващи кадри от мелето с 10 коли в софия хората вътре са,1
смущаващо разкритие: скритата смъртност на 1000 души в пловдив. умрели са от,13-01-21 7:25,-0.22221880430655888,-0.050000869489490896,-0.3365455488858929,petel.bg,1,от,False,12,5.416666667,0,"['смущаващо', 'разкритие', ':', 'скритата', 'смъртност', 'на', '1000', 'души', 'в', 'пловдив', '.', 'умрели', 'са', 'от']","['смущаващо', 'разкритие', 'скритата', 'смъртност', 'на', '1000', 'души', 'в', 'пловдив', 'умрели', 'са', 'от']",4,2,0,скритата смъртност на 1000 души в пловдив умрели са от смущаващо разкритие,1
