post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Cluster
след ужаса в сандански. майка от якоруда хвана 11-месечното си бебенце и зверски го,14-01-21 15:01,80,21,133,petel.bg,1,го,False,14,5.0,0,"['след', 'ужаса', 'в', 'сандански', '.', 'майка', 'от', 'якоруда', 'хвана', '11-месечното', 'си', 'бебенце', 'и', 'зверски', 'го']","['след', 'ужаса', 'в', 'сандански', 'майка', 'от', 'якоруда', 'хвана', '11месечното', 'си', 'бебенце', 'и', 'зверски', 'го']",6,2,0,1
синоптик: зимната хала смъква рязко температурите до минус 12 градуса. сняг почва да трупа в,14-01-21 14:21,253,15,15,petel.bg,0,в,False,15,5.2,0,"['синоптик', ':', 'зимната', 'хала', 'смъква', 'рязко', 'температурите', 'до', 'минус', '12', 'градуса', '.', 'сняг', 'почва', 'да', 'трупа', 'в']","['синоптик', 'зимната', 'хала', 'смъква', 'рязко', 'температурите', 'до', 'минус', '12', 'градуса', 'сняг', 'почва', 'да', 'трупа', 'в']",3,2,0,1
мутрите се завърнаха да бият хората! слязоха от ролс ройс и обезобразиха баща пред детето му в,14-01-21 12:17,271,93,198,petel.bg,1,в,False,17,4.588235294,0,"['мутрите', 'се', 'завърнаха', 'да', 'бият', 'хората', '!', 'слязоха', 'от', 'ролс', 'ройс', 'и', 'обезобразиха', 'баща', 'пред', 'детето', 'му', 'в']","['мутрите', 'се', 'завърнаха', 'да', 'бият', 'хората', 'слязоха', 'от', 'ролс', 'ройс', 'и', 'обезобразиха', 'баща', 'пред', 'детето', 'му', 'в']",7,1,1,1
кантарджиев съобщи: сега пускат учениците. заведения и молове след,14-01-21 9:21,109,5,73,petel.bg,1,след,False,9,6.444444444,0,"['кантарджиев', 'съобщи', ':', 'сега', 'пускат', 'учениците', '.', 'заведения', 'и', 'молове', 'след']","['кантарджиев', 'съобщи', 'сега', 'пускат', 'учениците', 'заведения', 'и', 'молове', 'след']",3,2,0,1
сащ вдигат минималната заплата на 15 долара на час,13-01-21 22:30,137,10,55,petel.bg,0,час,True,9,4.666666667,0,"['сащ', 'вдигат', 'минималната', 'заплата', 'на', '15', 'долара', 'на', 'час']","['сащ', 'вдигат', 'минималната', 'заплата', 'на', '15', 'долара', 'на', 'час']",2,0,0,1
борисов назначи жената на своя приятел александър сталийски за почетен консул на корея в пловдив,13-01-21 20:30,128,46,125,petel.bg,1,пловдив,True,15,5.466666667,0,"['борисов', 'назначи', 'жената', 'на', 'своя', 'приятел', 'александър', 'сталийски', 'за', 'почетен', 'консул', 'на', 'корея', 'в', 'пловдив']","['борисов', 'назначи', 'жената', 'на', 'своя', 'приятел', 'александър', 'сталийски', 'за', 'почетен', 'консул', 'на', 'корея', 'в', 'пловдив']",4,0,0,1
ново напрежение! гръцки спецчасти взеха на абордаж руски кораб! русия обяви,13-01-21 19:30,96,7,77,petel.bg,1,обяви,False,11,5.909090909,1,"['ново', 'напрежение', '!', 'гръцки', 'спецчасти', 'взеха', 'на', 'абордаж', 'руски', 'кораб', '!', 'русия', 'обяви']","['ново', 'напрежение', 'гръцки', 'спецчасти', 'взеха', 'на', 'абордаж', 'руски', 'кораб', 'русия', 'обяви']",1,2,2,1
❗здравният министър обяви облекчаване на мерките от,13-01-21 15:15,98,12,108,petel.bg,1,от,False,7,6.428571429,0,"['❗здравният', 'министър', 'обяви', 'облекчаване', 'на', 'мерките', 'от']","['здравният', 'министър', 'обяви', 'облекчаване', 'на', 'мерките', 'от']",2,0,0,1
��нова нюз с извънредно включване! 70 души щурмуваха къщата в мездра заради убитото дете на,13-01-21 14:45,237,6,30,petel.bg,0,на,False,15,5.066666667,1,"['😮нова', 'нюз', 'с', 'извънредно', 'включване', '!', '70', 'души', 'щурмуваха', 'къщата', 'в', 'мездра', 'заради', 'убитото', 'дете', 'на']","['нова', 'нюз', 'с', 'извънредно', 'включване', '70', 'души', 'щурмуваха', 'къщата', 'в', 'мездра', 'заради', 'убитото', 'дете', 'на']",5,1,1,1
показваха потресаващи кадри от мелето с 10 коли в софия! хората вътре са,13-01-21 9:39,102,12,37,petel.bg,1,са,False,13,4.615384615,1,"['показваха', 'потресаващи', 'кадри', 'от', 'мелето', 'с', '10', 'коли', 'в', 'софия', '!', 'хората', 'вътре', 'са']","['показваха', 'потресаващи', 'кадри', 'от', 'мелето', 'с', '10', 'коли', 'в', 'софия', 'хората', 'вътре', 'са']",4,1,1,1
